Diseases,OTC1,OTC2,OTC3,OTC4
COVID-19,"Paracetamol (Acetaminophen)

Dose to Take: 500-1000 mg every 4-6 hours for fever relief.
Alternate Remedies:
Ibuprofen (if recommended by a doctor).
Aspirin (in older individuals).","Zinc and Vitamin C

Dose to Take: 1000 mg Vitamin C and 10-15 mg Zinc daily.
Alternate Medicines:
Vitamin D Supplements.
Elderberry Extract.","Hydration

Recommendation: Drink plenty of fluids like water, tea, or clear broths.
Alternate Solutions:
Coconut Water.
Herbal Teas like ginger or peppermint.","Rest and Isolation

Recommendation: Rest in isolation to prevent the spread and aid recovery.
Alternate Remedies:
Restorative Sleep.
Breathing exercises (diaphragmatic breathing)."
Cracked Heels,"Petroleum Jelly

Dose to Apply: Apply generously before bed and wear socks overnight.
Alternate Remedies:
Aloe Vera Gel.
Coconut Oil.","Foot Soaks

Recommendation: Soak feet in warm water with Epsom salt for 15-20 minutes.
Alternate Solutions:
Baking Soda Foot Soak.
Honey and Milk Foot Bath.","Heel Balms

Recommendation: Use a thick heel balm to heal cracked skin.
Alternate Medicines:
Cracked Heel Cream with Urea.
Aquaphor Healing Ointment.","Exfoliation

Recommendation: Gently exfoliate feet to remove dead skin.
Alternate Tips:
Use a pumice stone after a foot soak.
Sugar Scrub for heels."
Cracked Lips,"Lip Balms with Beeswax

Recommendation: Apply liberally several times a day.
Alternate Remedies:
Lip Balm with Vitamin E.
Coconut Oil or Shea Butter.","Hydration

Recommendation: Drink water regularly to stay hydrated.
Alternate Solutions:
Aloe Vera Gel.
Honey Lip Mask.","Humidifier Use

Recommendation: Use a humidifier to avoid dry air.
Alternate Tips:
Apply coconut oil before bed.
Avoid licking lips.","Coconut Oil

Dose to Apply: Apply a thin layer on cracked lips several times a day.
Alternate Solutions:
Aloe Vera Gel.
Honey and Lemon Balm."
Cracked Skin on Hands,"Hand Cream with Shea Butter

Dose to Apply: Apply every few hours, especially after washing hands.
Alternate Remedies:
Coconut Oil.
Ointments with Vitamin E.","Petroleum Jelly

Dose to Apply: Apply a thick layer before bed, and wear cotton gloves overnight.
Alternate Solutions:
Eucerin Repair Lotion.
Aquaphor Healing Ointment.","Aloe Vera Gel

Dose to Apply: Apply generously to cracked skin on hands after washing.
Alternate Remedies:
Honey and Lemon Balm.
Olive Oil.","Avoid Hot Water

Recommendation: Use lukewarm water when washing hands to avoid further dryness.
Alternate Tips:
Use a hand scrub with sugar and olive oil.
Wear gloves during cold weather."
Cystic Acne,"Benzoyl Peroxide Cream

Dose to Apply: Apply a thin layer once or twice daily to affected areas.
Alternate Remedies:
Salicylic Acid Cream.
Retinoid Cream (Adapalene).","Tea Tree Oil

Dose to Apply: Dilute with water and apply a small amount to the acne spots twice a day.
Alternate Solutions:
Aloe Vera Gel.
Green Tea Extract Cream.","Clay Mask

Usage: Apply a clay mask to the face 1-2 times a week to draw out impurities.
Alternate Remedies:
Charcoal Mask.
Turmeric and Honey Mask."," Ice Compress

Recommendation: Apply an ice pack wrapped in a cloth to reduce swelling and inflammation.
Alternate Tips:
Aloe Vera for soothing.
Avoid touching the face frequently."
Dandruff,"Anti-Dandruff Shampoo with Ketoconazole

Dose to Apply: Use twice weekly, leaving it on the scalp for 5-10 minutes before rinsing.
Alternate Remedies:
Selenium Sulfide Shampoo.
Zinc Pyrithione Shampoo.","Coconut Oil with Tea Tree Oil

Dose to Apply: Mix 2-3 drops of tea tree oil with 1 tablespoon of coconut oil, massage into the scalp, and leave overnight.
Alternate Remedies:
Apple Cider Vinegar Rinse (diluted with water).
Aloe Vera Gel Massage.","Salicylic Acid Scalp Treatment

Dose to Apply: Apply directly to the scalp once or twice weekly.
Alternate Remedies:
Baking Soda Scrub.
Lemon Juice Scalp Massage.","Herbal Hair Rinse (Neem Water)

Dose to Use: Boil neem leaves in water, cool, and use as a final rinse after shampooing.
Alternate Remedies:
Fenugreek Seed Paste.
Yogurt and Honey Mask."
Dark Spots on Skin,"Vitamin C Serum

Dose to Apply: Apply a small amount to clean skin once daily before moisturizer.
Alternate Remedies:
Kojic Acid Cream.
Licorice Extract Cream.","Retinol Cream

Dose to Apply: Apply a pea-sized amount at night after cleansing.
Alternate Remedies:
Glycolic Acid Peel.
Niacinamide Serum.","Aloe Vera Gel

Dose to Apply: Apply a thin layer to the affected area twice daily.
Alternate Remedies:
Lemon and Honey Paste.
Turmeric and Yogurt Mask.","Sunscreen (SPF 30 or Higher)

Recommendation: Apply generously to exposed areas daily to prevent further darkening.
Alternate Tips:
Use hats and scarves for protection.
Avoid excessive sun exposure."
Deafness,"Hearing Amplification Devices

Recommendation: Use as prescribed by an audiologist for improved sound clarity.
Alternate Solutions:
Personal Sound Amplification Products (PSAPs).
Smartphone Hearing Apps.","Earwax Removal Drops

Dose to Apply: 2-3 drops in the ear canal daily, as directed.
Alternate Remedies:
Hydrogen Peroxide Drops.
Warm Olive Oil Drops.","Omega-3 Supplements

Dose to Take: 1000 mg daily to support overall ear health.
Alternate Remedies:
Gingko Biloba Capsules.
Magnesium Supplements.","Regular Ear Cleaning

Recommendation: Use soft ear cleaning methods with cotton swabs or a clean cloth.
Alternate Tips:
Avoid exposure to loud noises.
Attend regular audiology check-ups."
Deep Tissue Bruising,"Arnica Gel or Cream

Dose to Apply: Gently rub onto the bruise 2-3 times daily.
Alternate Remedies:
Witch Hazel Compress.
Aloe Vera Gel.","Cold Compress

Usage: Apply a cold pack wrapped in a cloth for 15-20 minutes, several times a day.
Alternate Solutions:
Ice Pack.
Frozen Peas Wrap.","Vitamin C Supplements

Dose to Take: 500 mg daily to promote healing.
Alternate Remedies:
Zinc Supplements.
Bromelain Capsules.","Elevation and Rest

Recommendation: Keep the bruised area elevated to reduce swelling and promote recovery.
Alternate Tips:
Use compression bandages if necessary.
Avoid strenuous activities."
Dehydrated Skin,"Hyaluronic Acid Cream/Lotion

Dose to Apply: Use twice daily on clean, damp skin.
Alternate Remedies:
Ceramide-based Moisturizers.
Glycerin-based Creams.","Coconut Oil

Dose to Apply: Massage a small amount into the skin before bedtime.
Alternate Remedies:
Aloe Vera Gel.
Shea Butter.","Drink Electrolyte Water

Dose to Take: 1-2 glasses of electrolyte water daily.
Alternate Remedies:
Coconut Water.
Fresh Lemon Water.","Overnight Masks

Dose to Apply: Apply a hydrating mask before bed 2-3 times weekly.
Alternate Remedies:
Honey and Milk Mask.
Cucumber Paste."
Dehydration,"Oral Rehydration Solution (ORS)

Dose to Take: 1 sachet mixed in 1 liter of water, sipped throughout the day.
Alternate Remedies:
Coconut Water.
Lemon Water with Salt and Sugar.","Electrolyte Tablets

Dose to Take: 1 tablet dissolved in water, taken 1-2 times daily.
Alternate Remedies:
Pedialyte.
Hydralyte.","Fresh Fruit Juices

Dose to Take: 1 glass of juice (e.g., watermelon, orange) 2-3 times daily.
Alternate Remedies:
Buttermilk with Salt.
Herbal Tea.","Plain Water

Dose to Take: Sip water consistently throughout the day (minimum of 8 glasses).
Alternate Remedies:
Infused Water with Fruits.
Iced Green Tea."
Dehydration in Adults,"ORS Sachets

Dose to Take: Dissolve 1 sachet in 1 liter of water and sip over 2-3 hours.
Alternate Remedies:
Salt and Sugar Water.
Coconut Water.","Sports Drinks (Gatorade, Powerade)

Dose to Take: 1 bottle daily or as needed.
Alternate Remedies:
Herbal Electrolyte Drinks.
Lemon Water with Salt.","Hydrating Foods (Fruits and Vegetables)

Dose to Take: Include fruits like watermelon and cucumber in every meal.
Alternate Remedies:
Soups and Broths.
Buttermilk.","IV Fluids (Only if Severe)

Recommendation: Seek medical attention for IV rehydration if dehydration symptoms persist.
Alternate Remedies:
Consult a physician for tailored advice.
Increase fluid intake based on condition."
Dehydration in Children,"ORS (Child-Friendly)

Dose to Take: As per pediatric instructions (small sips frequently).
Alternate Remedies:
Rice Water.
Light Vegetable Broth.","Coconut Water

Dose to Take: 100-200 ml twice daily.
Alternate Remedies:
Diluted Apple Juice.
Electrolyte Solutions.","Fresh Fruit Purees

Dose to Take: Small portions of fruit purees (e.g., banana, watermelon).
Alternate Remedies:
Mashed Rice with Water.
Light Lentil Soup.","Hydrating Ice Pops

Dose to Take: 1 small ice pop made from ORS or diluted juice.
Alternate Remedies:
Gelatin Desserts (mildly sweetened).
Chilled Buttermilk."
Delivery Of Babies,"Note: Always consult healthcare professionals for childbirth-related matters. The following over-the-counter (OTC) options are for mild discomfort or preparations.

Prenatal Vitamins

Dose to Take: 1 tablet daily during pregnancy, as advised by a doctor.
Alternate Remedies:
Folic Acid Supplements.
Iron and Calcium Tablets.","Perineal Cooling Pads

Dose to Use: Apply as needed postpartum for swelling and pain relief.
Alternate Remedies:
Witch Hazel Pads.
Aloe Vera Gel applied to cooling pads.","Nipple Cream (for breastfeeding mothers)

Dose to Apply: Apply a thin layer after each feeding.
Alternate Remedies:
Lanolin Cream.
Coconut Oil.","Postpartum Pain Relief (Ibuprofen)

Dose to Take: 200–400 mg every 4-6 hours as needed.
Alternate Remedies:
Acetaminophen (500 mg every 6 hours).
Topical Lidocaine Spray for soreness."
Dental Problems,"Pain Relievers (Ibuprofen)

Dose to Take: 200–400 mg every 4-6 hours for toothache or gum pain.
Alternate Remedies:
Acetaminophen (Tylenol).
Clove Oil (topical application).","Antiseptic Mouthwash (Chlorhexidine)

Dose to Use: Rinse with 15 ml twice daily.
Alternate Remedies:
Warm Saltwater Rinse.
Hydrogen Peroxide Solution (diluted).","Tooth Desensitizers (Sensodyne Toothpaste)

Dose to Use: Apply twice daily for sensitive teeth.
Alternate Remedies:
Potassium Nitrate-based Toothpaste.
Fluoride Mouth Rinse.","Oral Probiotics

Dose to Take: 1 tablet or lozenge daily.
Alternate Remedies:
Yogurt with live cultures.
Chewable Vitamin C."
Depression,"Note: For severe cases, consult a mental health professional. OTC remedies focus on mild mood issues.

 St. John’s Wort

Dose to Take: 300 mg 3 times daily.
Alternate Remedies:
Omega-3 Fatty Acid Supplements.
Ashwagandha Capsules.","5-HTP (5-Hydroxytryptophan)

Dose to Take: 50-100 mg twice daily.
Alternate Remedies:
SAM-e (S-Adenosyl methionine).
Rhodiola Rosea.","Multivitamins (B-complex)

Dose to Take: 1 tablet daily.
Alternate Remedies:
Magnesium Tablets.
Vitamin D3.","Herbal Teas (Chamomile, Lavender)

Dose to Take: 1 cup 2-3 times daily.
Alternate Remedies:
Green Tea.
Lemon Balm Tea."
Diabetes,"Always monitor blood sugar levels and consult a doctor before introducing supplements.

Alpha-Lipoic Acid Supplements

Dose to Take: 300 mg twice daily.
Alternate Remedies:
Cinnamon Capsules (500 mg daily).
Chromium Picolinate (200 mcg daily).","Bitter Melon (Karela Extract)

Dose to Take: 500 mg twice daily.
Alternate Remedies:
Fenugreek Seeds (1 tsp soaked overnight).
Gymnema Sylvestre (400 mg daily).","Magnesium Supplements

Dose to Take: 250–400 mg daily.
Alternate Remedies:
Zinc Supplements (10-20 mg daily).
Vitamin E Capsules (400 IU daily).","Apple Cider Vinegar

Dose to Take: 1-2 tsp diluted in water before meals.
Alternate Remedies:
Lemon Water.
Turmeric Milk."
Diabetic Foot Care,"Antibacterial Cream (Neosporin)

Dose to Apply: Apply a thin layer to wounds twice daily.
Alternate Remedies:
Silver Sulfadiazine Cream.
Aloe Vera Gel.","Moisturizing Cream (Urea-based)

Dose to Apply: Apply daily to prevent cracking and dryness.
Alternate Remedies:
Petroleum Jelly.
Shea Butter Cream.","Antifungal Powder (Miconazole)

Dose to Use: Apply to the affected area once daily.
Alternate Remedies:
Clotrimazole Powder.
Tea Tree Oil Solution (diluted).","Epsom Salt Soak

Dose to Use: Add 1/2 cup to warm water and soak feet for 15-20 minutes daily.
Alternate Remedies:
Apple Cider Vinegar Foot Bath.
Warm Saline Water Soak."
Diaper Rash,"Zinc Oxide Cream (Desitin)

Dose to Apply: Apply a thick layer after each diaper change.
Alternate Remedies:
Bepanthen (Dexpanthenol Cream).
Petroleum Jelly.","Antifungal Cream (Clotrimazole)

Dose to Apply: Apply a thin layer twice daily if fungal infection is suspected.
Alternate Remedies:
Miconazole Cream.
Nystatin Ointment.","Calamine Lotion

Dose to Apply: Apply to affected areas as needed.
Alternate Remedies:
Aloe Vera Gel.
Chamomile Cream.","Cornstarch Powder

Dose to Use: Apply a light dusting after cleaning and drying the area.
Alternate Remedies:
Arrowroot Powder.
Talc-free Baby Powder."
Diarrhea due to indigestion of food,"Oral Rehydration Salts (ORS)

Dose to Take: Mix 1 packet in 1 liter of water and sip throughout the day.
Alternate Remedies:
Coconut Water.
Lemon Water with a pinch of salt and sugar.","Probiotic Supplements

Dose to Take: 1-2 capsules daily.
Alternate Remedies:
Yogurt with live cultures.
Kefir.","Antidiarrheal Tablets (Loperamide)

Dose to Take: 2 mg after each loose stool (maximum 8 mg daily).
Alternate Remedies:
Bismuth Subsalicylate (Pepto-Bismol).
Activated Charcoal Capsules.","Ginger Tea

Dose to Take: 1 cup 2-3 times daily.
Alternate Remedies:
Peppermint Tea.
Chamomile Tea."
Diarrhoea,"Zinc Supplements

Dose to Take: 10-20 mg daily for 10-14 days.
Alternate Remedies:
ORS (Oral Rehydration Salts).
Banana (Potassium source).","Smecta (Diosmectite Powder)

Dose to Take: 1 sachet mixed in water 2-3 times daily.
Alternate Remedies:
Racecadotril Capsules.
Psyllium Husk (Isabgol).","Bismuth Subsalicylate (Pepto-Bismol)

Dose to Take: 1-2 tablets every 6 hours as needed.
Alternate Remedies:
Loperamide (Imodium).
Activated Charcoal Capsules.","Pomegranate Juice

Dose to Take: 1 glass daily to help regulate bowel movements.
Alternate Remedies:
Apple Cider Vinegar diluted in water.
Mint Leaf Infusion."
Difficult Digestion After Meals,"Digestive Enzyme Supplements

Dose to Take: 1-2 capsules after meals.
Alternate Remedies:
Papaya Extract.
Pineapple Extract","Apple Cider Vinegar

Dose to Take: 1 tablespoon in a glass of warm water before meals.
Alternate Remedies:
Ginger Tea.
Lemon Water with a pinch of salt.","Peppermint Capsules

Dose to Take: 1 capsule 30 minutes before meals.
Alternate Remedies:
Chamomile Tea.
Fennel Seeds (Chew 1 teaspoon).","Aloe Vera Juice

Dose to Take: 1/4 cup 30 minutes before meals.
Alternate Remedies:
Licorice Root Tea.
Cumin Seed Water."
Dizziness due to Low Blood Sugar,"Glucose Tablets

Dose to Take: 1-2 tablets, as needed, when feeling dizzy.
Alternate Remedies:
Orange Juice.
Honey or Sugar Water.","Electrolyte Drinks (e.g., Gatorade)

Dose to Take: 1 cup as needed.
Alternate Remedies:
Coconut Water.
Lemon and Salt Water.","Carbohydrate-Rich Snacks

Dose to Take: A small snack, such as crackers or a granola bar.
Alternate Remedies:
Banana or Apple.
Whole Wheat Bread with Peanut Butter.","Ginseng Supplements

Dose to Take: 200 mg daily.
Alternate Remedies:
Ginger Tea.
Cinnamon with Honey."
Double Vision,"Artificial Tears (Lubricating Eye Drops)

Dose to Apply: 1-2 drops in each eye as needed.
Alternate Remedies:
Omega-3 Supplements (to support eye health).
Castor Oil Drops (for dry eyes).","Prisms or Lenses

Dose to Wear: As prescribed by an optometrist.
Alternate Remedies:
Regular Eye Exercises (pencil push-ups).
Blink Breaks for Eye Fatigue.","Eye Vitamin Supplements (Lutein, Zeaxanthin)

Dose to Take: 1-2 capsules daily.
Alternate Remedies:
Carrot Juice.
Bilberry Extract (antioxidants for eye health).","Prisms or Lenses

Dose to Wear: As prescribed by an optometrist.
Alternate Remedies:
Regular Eye Exercises (pencil push-ups).
Blink Breaks for Eye Fatigue."
Dry Eyes,"Artificial Tears (Lubricating Drops)

Dose to Apply: 1-2 drops in each eye as needed.
Alternate Remedies:
Eye Drops with Hyaluronic Acid.
Warm Compress.","Omega-3 Fatty Acid Supplements

Dose to Take: 1000-2000 mg daily.
Alternate Remedies:
Flaxseed Oil Capsules.
Fish Oil Capsules.","Eye Masks for Moisturizing

Dose to Use: Apply for 10-15 minutes once or twice a day.
Alternate Remedies:
Cucumber Slices on Eyes.
Cold Tea Bags (Chamomile or Green Tea).","Blink Exercises

Dose to Perform: Blink every 4 seconds for 1-2 minutes.
Alternate Remedies:
Frequent Breaks from Screen Time (20-20-20 rule).
Using a Humidifier to add moisture to the air."
Dry Mouth,"Saliva Substitutes (Biotene)

Dose to Use: Apply as needed for moisture.
Alternate Remedies:
Sugar-Free Gum or Mints.
Aloe Vera Mouthwash.","Hydrating Mouth Sprays

Dose to Use: Spray into the mouth several times daily.
Alternate Remedies:
Coconut Water (Drink slowly).
Green Tea (Drink slowly).","Sipping Water Regularly

Dose to Drink: Sip small amounts throughout the day.
Alternate Remedies:
Lemon Water.
Herbal Teas (like Chamomile or Ginger Tea).","Oral Moisturizing Gel

Dose to Apply: Apply to the inside of the mouth as needed.
Alternate Remedies:
Xylitol Mouth Rinse.
Mint Infused Water."
